Daily,AUDJPY,AUDUSD,EURGBP,EURUSD,GBPJPY,GBPUSD,USDCAD,USDCHF,USDJPY,Oil,NatGas,Copper,Gold,Soy,Corn
2/5/2016,82.67,0.7071,0.7694,1.1159,169.53,1.4503,1.3915,0.991,116.9,30.89,2.063,2.1,1157.8,867.38,365.62
2/4/2016,84.08,0.7201,0.7682,1.1208,170.37,1.4589,1.3753,0.9933,116.77,31.72,1.972,2.128,1157.6,874.25,368.62
2/3/2016,84.51,0.7168,0.7603,1.1104,172.17,1.4604,1.3781,1.0042,117.92,32.28,2.038,2.092,1141.3,877.12,370.88
2/2/2016,84.44,0.7039,0.7577,1.0919,172.88,1.441,1.4053,1.0186,119.97,29.88,2.025,2.052,1127.3,886.38,372.62
2/1/2016,86.05,0.7114,0.7544,1.0889,174.62,1.4433,1.3947,1.0198,120.98,31.62,2.152,2.051,1127.9,880.88,371.62
1/29/2016,85.76,0.7085,0.7606,1.0837,172.47,1.4247,1.3973,1.0232,121.06,33.62,2.298,2.064,1116.4,882.38,371.88
1/28/2016,84.19,0.7085,0.7617,1.0939,170.66,1.4362,1.4029,1.0136,118.83,33.22,2.182,2.049,1115.6,867.88,365.12
1/27/2016,83.38,0.7026,0.7653,1.0893,168.92,1.4233,1.4093,1.0151,118.67,32.3,2.189,2.063,1116.1,883.38,369.12
1/26/2016,82.95,0.7005,0.7575,1.0872,169.97,1.4352,1.4116,1.017,118.42,31.45,2.18,2.034,1121.7,876.13,368.88
1/25/2016,82.28,0.6955,0.7613,1.0849,168.56,1.4249,1.4291,1.0128,118.3,30.34,2.158,1.996,1106.2,880.38,369.62
1/22/2016,83.18,0.7003,0.7569,1.0797,169.45,1.4265,1.4117,1.0161,118.78,32.19,2.139,1.998,1097.2,876.38,370.12
1/21/2016,82.38,0.6998,0.7647,1.0874,167.4,1.4218,1.4263,1.0074,117.7,29.53,2.138,1.993,1099.1,878.88,366.38
1/20/2016,80.78,0.6907,0.7675,1.0891,165.94,1.4191,1.4505,1.0046,116.94,26.55,2.118,1.956,1107.1,874.38,369.12
1/19/2016,81.26,0.6907,0.7707,1.0909,166.51,1.4158,1.4579,1.0034,117.64,28.46,2.091,1.974,1089.9,883.63,367.62
1/18/2016,80.56,0.6865,0.7648,1.0893,167.13,1.4244,1.4564,1.0053,117.34,30.02,2.105,1.964,1088.5,878.38,363.25
1/15/2016,80.42,0.6869,0.7657,1.0917,166.91,1.4258,1.454,1.0025,117.06,29.42,2.1,1.94,1091.5,878.38,363.12
1/14/2016,82.46,0.6985,0.7539,1.0865,170.16,1.4414,1.4366,1.0051,118.05,31.2,2.139,1.971,1073.9,882.88,357.88
1/13/2016,81.86,0.6956,0.755,1.0877,169.55,1.4407,1.4341,1.0062,117.69,30.48,2.269,1.95,1087.5,879.88,358.12
1/12/2016,82.19,0.6986,0.7515,1.0857,169.97,1.4444,1.4263,1.0022,117.64,30.44,2.257,1.953,1085.6,874.62,355.62
1/11/2016,82.36,0.6996,0.7468,1.086,171.21,1.4544,1.4216,1.002,117.77,31.41,2.396,1.968,1096.5,861.12,351.88
